Facility,Year,TotalCrashes,Fatalrashes
Teterboro Airport,2014,4,0
Teterboro Airport,2015,3,0
Stewart International Airport,2007,16,0
Stewart International Airport,2008,5,0
Stewart International Airport,2009,0,0
Stewart International Airport,2010,0,0
Stewart International Airport,2011,2,0
Stewart International Airport,2012,1,0
Stewart International Airport,2013,1,0
Stewart International Airport,2014,0,0
Stewart International Airport,2015,0,0
Port Newark - Elizabeth Port Authority Marine Terminal,2000,183,0
Port Newark - Elizabeth Port Authority Marine Terminal,2001,199,1
Port Newark - Elizabeth Port Authority Marine Terminal,2002,227,0
Port Newark - Elizabeth Port Authority Marine Terminal,2003,226,0
Port Newark - Elizabeth Port Authority Marine Terminal,2004,228,0
Port Newark - Elizabeth Port Authority Marine Terminal,2005,206,1
Port Newark - Elizabeth Port Authority Marine Terminal,2006,193,0
Port Newark - Elizabeth Port Authority Marine Terminal,2007,202,0
Port Newark - Elizabeth Port Authority Marine Terminal,2008,175,1
Port Newark - Elizabeth Port Authority Marine Terminal,2009,144,0
Port Newark - Elizabeth Port Authority Marine Terminal,2010,130,0
Port Newark - Elizabeth Port Authority Marine Terminal,2011,125,0
Port Newark - Elizabeth Port Authority Marine Terminal,2012,167,0
Port Newark - Elizabeth Port Authority Marine Terminal,2013,155,1
Port Newark - Elizabeth Port Authority Marine Terminal,2014,139,0
Port Newark - Elizabeth Port Authority Marine Terminal,2015,136,0
Brooklyn Port Authority Marine Terminal,2000,9,0
Brooklyn Port Authority Marine Terminal,2001,11,0
Brooklyn Port Authority Marine Terminal,2002,7,0
Brooklyn Port Authority Marine Terminal,2003,8,0
Brooklyn Port Authority Marine Terminal,2004,3,0
Brooklyn Port Authority Marine Terminal,2005,2,0
Brooklyn Port Authority Marine Terminal,2006,3,0
Brooklyn Port Authority Marine Terminal,2007,2,0
Brooklyn Port Authority Marine Terminal,2008,1,0
Brooklyn Port Authority Marine Terminal,2009,0,0
Brooklyn Port Authority Marine Terminal,2010,2,0
Brooklyn Port Authority Marine Terminal,2011,0,0
Brooklyn Port Authority Marine Terminal,2012,1,0
Brooklyn Port Authority Marine Terminal,2013,0,0
Brooklyn Port Authority Marine Terminal,2014,1,0
Brooklyn Port Authority Marine Terminal,2015,0,0
Port Jersey Port Authority Marine Terminal,2006,1,0
Port Jersey Port Authority Marine Terminal,2007,6,0
Port Jersey Port Authority Marine Terminal,2008,5,0
Port Jersey Port Authority Marine Terminal,2009,5,0
Port Jersey Port Authority Marine Terminal,2010,1,0
Port Jersey Port Authority Marine Terminal,2011,5,0
Port Jersey Port Authority Marine Terminal,2012,7,0
Port Jersey Port Authority Marine Terminal,2013,15,0
Port Jersey Port Authority Marine Terminal,2014,8,0
Port Jersey Port Authority Marine Terminal,2015,4,0
Port Authority Bus Terminal,2000,68,0
Port Authority Bus Terminal,2001,61,0
Port Authority Bus Terminal,2002,57,0
Port Authority Bus Terminal,2003,36,0
Port Authority Bus Terminal,2004,52,0
Port Authority Bus Terminal,2005,59,0
Port Authority Bus Terminal,2006,68,0
Port Authority Bus Terminal,2007,62,0
Port Authority Bus Terminal,2008,53,1
Port Authority Bus Terminal,2009,45,0
Port Authority Bus Terminal,2010,43,0
Port Authority Bus Terminal,2011,46,0
Port Authority Bus Terminal,2012,40,0
Port Authority Bus Terminal,2013,40,0
Port Authority Bus Terminal,2014,40,0
Port Authority Bus Terminal,2015,41,1
Journal Square Transportation Center,2010,13,0
Journal Square Transportation Center,2011,8,0
Journal Square Transportation Center,2012,11,0
Journal Square Transportation Center,2013,11,0
Journal Square Transportation Center,2014,14,0
Journal Square Transportation Center,2015,6,0
