"","titles","prices","years","transmissions","make.1","make.2"
"984","Toyota Probox","1050000","2012 ","Automatic",Toyota,Probox
"985","Toyota Noah",NA,"1997 ","Automatic",Toyota,Noah
"986","Nissan AD Wagon",NA,"2014 ","Automatic",Nissan,AD Wagon
"987","Toyota Rav 4","1100000","2004 ","Automatic",Toyota,Rav 4
"988","Honda Fit",NA,"2013 ","Automatic",Honda,Fit
"989","Toyota Fielder","2050000","2014 ","Automatic",Toyota,Fielder
"990","Daihatsu Terios","1280000","2008 ","Automatic",Daihatsu,Terios
"991","Nissan Tiida","1200000","2012 ","Automatic",Nissan,Tiida
"992","Nissan Bluebird","920000","2007 ","Automatic",Nissan,Bluebird
"993","Toyota Fielder","1599000","2012 ","Automatic",Toyota,Fielder
"994","Honda Stream RSZ",NA,"2007 ","Automatic",Honda,Stream RSZ
"995","Nissan Tiida","850000","2009 ","Automatic",Nissan,Tiida
"996","Nissan Teana","820000","2007 ","Automatic",Nissan,Teana
"997","Honda Vezel",NA,"2014 ","Automatic",Honda,Vezel
"998","Toyota Mark X","2950000","2012 ","Automatic",Toyota,Mark X
"999","Toyota wish","1590000","2009 ","Automatic",Toyota,wish
"1000","Nissan AD Wagon",NA,"2013 ","Automatic",Nissan,AD Wagon
"1001","Honda Fit","1589000","2013 ","Automatic",Honda,Fit
"1002","Nissan Sunny B13","225000","1991 ","Automatic",Nissan,Sunny B13
"1003","Toyota Hilux","3150000","2013 ","Automatic",Toyota,Hilux
"1004","Nissan Caravan","1800000","2011 ","Automatic",Nissan,Caravan
"1005","Toyota Vitz 15 engine rims 16inc","720000","2007 ","Automatic",Toyota,Vitz 15 engine rims 16inc
"1006","Nissan Sunny ","620000","2004 ","Automatic",Nissan,Sunny 
"1007","Toyota Tacoma",NA,"2004 ","Automatic",Toyota,Tacoma
"1008","Nissan X Trail","885000","2004 ","Automatic",Nissan,X Trail
"1009","Lexus Windom","350000","1992 ","Automatic",Lexus,Windom
"1010","Nissan Tiida","1200000","2011 ","Automatic",Nissan,Tiida
"1011","Nissan Bluebird Sylphy","2080000","2013 ","Automatic",Nissan,Bluebird Sylphy
"1012","Toyota Fielder",NA,"2013 ","Automatic",Toyota,Fielder
"1013","Jaguar XF","12300000","2014 ","Automatic",Jaguar,XF
"1014","Toyota Mark X","2850000","2012 ","Automatic",Toyota,Mark X
"1015","Toyota Hilux","890000","2005 ","Automatic",Toyota,Hilux
"1016","Suzuki Grand Vitara","1320000","2009 ","Automatic",Suzuki,Grand Vitara
"1017","Suzuki Vitara","3e+06","2016 ","Automatic",Suzuki,Vitara
"1018","Toyota Mark X","2290000","2012 ","Tiptronic",Toyota,Mark X
"1019","Suzuki Swift","1100000","2012 ","Automatic",Suzuki,Swift
"1020","Mitsubishi Pajero","5e+06","2015 ","Automatic",Mitsubishi,Pajero
"1021","Acura MDX","9e+05","2002 ","Automatic",Acura,MDX
"1022","Nissan Frontier",NA,"2005 ","Automatic",Nissan,Frontier
"1023","Suzuki Swift",NA,"2014 ","Automatic",Suzuki,Swift
"1024","Toyota probox Succeed",NA,"2011 ","Automatic",Toyota,probox Succeed
"1025","Honda Inspire","1110000","2003 ","Tiptronic",Honda,Inspire
"1026","Toyota Probox","1250000","2012 ","Automatic",Toyota,Probox
"1027","Honda CR-V","1790000","2008 ","Automatic",Honda,CR-V
"1028","Subaru  Impreza (G4)","1890000","2012 ","Automatic",Subaru, Impreza (G4)
"1029","Toyota Isis","1890000","2012 ","Automatic",Toyota,Isis
"1030","Honda  Accord Euro R","1250000","2005 ","Tiptronic",Honda, Accord Euro R
"1031","BMW 328i","2700000","2012 ","Automatic",BMW,328i
"1032","Honda CR-V","4900000","2017 ","Automatic",Honda,CR-V
"1033","Toyota Belta","820000","2008 ","Automatic",Toyota,Belta
"1034","Nissan Note","1100000","2012 ","Automatic",Nissan,Note
"1035","BMW 520d","4500000","2013 ","Automatic",BMW,520d
"1036","Honda Accord","430000","1998 ","Automatic",Honda,Accord
"1037","Toyota  Corolla 110","650000","2000 ","Automatic",Toyota, Corolla 110
"1038","Honda Fit RS","1650000","2013 ","Automatic",Honda,Fit RS
"1039","Honda Odyssey","1800000","2011 ","Automatic",Honda,Odyssey
"1040","Toyota Avensis",NA,"2012 ","Automatic",Toyota,Avensis
"1041","Honda Stream",NA,"2011 ","Automatic",Honda,Stream
"1042","Land Rover Range Rover Sport","6200000","2010 ","Automatic",Land,Rover Range Rover Sport
"1043","Nissan Teana","2100000","2012 ","Automatic",Nissan,Teana
"1044","Toyota Corolla Axio","1970000","2014 ","Automatic",Toyota,Corolla Axio
"1045","Toyota  Premio","2e+06","2011 ","Automatic",Toyota, Premio
"1046","Suzuki Swift","1495000","2014 ","Automatic",Suzuki,Swift
"1047","Honda CR-V","1180000","2006 ","Automatic",Honda,CR-V
"1048","Suzuki Vitara","3370000","2016 ","Automatic",Suzuki,Vitara
"1049","Toyota Prado","990000","2002 ","Automatic",Toyota,Prado
"1050","Mitsubishi RVR","450000","1998 ","Automatic",Mitsubishi,RVR
"1051","Toyota Crown Royal Saloon ","2900000","2012 ","Automatic",Toyota,Crown Royal Saloon 
"1052","Volvo v50","1700000","2012 ","Automatic",Volvo,v50
"1053","Toyota Passo",NA,"2012 ","Automatic",Toyota,Passo
"1054","Toyota AURIS",NA,"2012 ","Automatic",Toyota,AURIS
"1055","BMW 530i","1700000","2007 ","Tiptronic",BMW,530i
"1056","Suzuki Swift","1470000","2014 ","Automatic",Suzuki,Swift
"1057","Suzuki Grand Vitara","1100000","2007 ","Automatic",Suzuki,Grand Vitara
"1058","Nissan Bluebird Sylphy","1280000","2006 ","Automatic",Nissan,Bluebird Sylphy
"1059","Toyota AXIO","1880000","2013 ","Automatic",Toyota,AXIO
"1060","Toyota AXIO 2wd","1800000","2013 ","Automatic",Toyota,AXIO 2wd
"1061","Toyota Succeed",NA,"2011 ","Automatic",Toyota,Succeed
"1062","Suzuki Swift RS","1950000","2015 ","Automatic",Suzuki,Swift RS
"1063","Honda HRV","3500000","2016 ","Automatic",Honda,HRV
"1064","Honda Accord",NA,"2016 ","Automatic",Honda,Accord
"1065","Nissan Sunny B14",NA,"1996 ","Automatic",Nissan,Sunny B14
"1066","Nissan Note","1450000","2014 ","Automatic",Nissan,Note
"1067","Suzuki XL-7","8e+05","2003 ","Automatic",Suzuki,XL-7
"1068","Subaru  Impreza S","1870000","2013 ","Automatic",Subaru, Impreza S
"1069","Toyota Isis","1980000","2012 ","Automatic",Toyota,Isis
"1070","Suzuki Swift","1","2015 ","Automatic",Suzuki,Swift
"1071","Nissan Note",NA,"2014 ","Automatic",Nissan,Note
"1072","Toyota Corolla","780000","2003 ","Automatic",Toyota,Corolla
"1073","Toyota AXIO","1550000","2012 ","Automatic",Toyota,AXIO
"1074","Nissan Tiida",NA,"2011 ","Automatic",Nissan,Tiida
"1075","Mitsubishi Galant Fortis","1780000","2014 ","Automatic",Mitsubishi,Galant Fortis
"1076","BMW 318d","3650000","2013 ","Tiptronic",BMW,318d
"1077","Toyota AXIO 2wd","1780000","2013 ","Automatic",Toyota,AXIO 2wd
"1078","Honda CR-V","599000","1997 ","Automatic",Honda,CR-V
"1079","Honda Accord","3700000","2014 ","Automatic",Honda,Accord
"1080","Toyota wish","1350000","2009 ","Automatic",Toyota,wish
"1081","Honda CIVIC","2900000","2016 ","Automatic",Honda,CIVIC
"1082","Toyota Avensis",NA,"2012 ","Tiptronic",Toyota,Avensis
"1083","Toyota Mark X",NA,"2012 ","Automatic",Toyota,Mark X
"1084","Volkswagen GTI","1600000","2011 ","Automatic",Volkswagen,GTI
"1085","Toyota Fielder","1700000","2012 ","Automatic",Toyota,Fielder
"1086","Nissan Rogue","4e+06","2017 ","Automatic",Nissan,Rogue
"1087","Cadillac Escalade","14900000","2015 ","Tiptronic",Cadillac,Escalade
"1088","Subaru  Legacy",NA,"2014 ","Automatic",Subaru, Legacy
"1089","Suzuki Swift","1650000","2014 ","Automatic",Suzuki,Swift
"1090","Toyota Fielder","1550000","2011 ","Automatic",Toyota,Fielder
"1091","Toyota Corolla Wagon",NA,"1998 ","Automatic",Toyota,Corolla Wagon
"1092","Toyota Rav 4","1350000","2006 ","Automatic",Toyota,Rav 4
"1093","Mazda Demio","440000","2002 ","Automatic",Mazda,Demio
"1094","Toyota Noah Esquire","3700000","2015 ","Automatic",Toyota,Noah Esquire
"1095","Nissan AD Wagon",NA,"2012 ","Automatic",Nissan,AD Wagon
"1096","Toyota Altezza",NA,"2003 ","Automatic",Toyota,Altezza
"1097","Toyota Hilux Surf","950000","1998 ","Automatic",Toyota,Hilux Surf
"1098","Toyota Noah Si","2680000","2012 ","Automatic",Toyota,Noah Si
"1099","Honda Fit","1890000","2015 ","Automatic",Honda,Fit
"1100","Honda CR-V","2900000","2012 ","Automatic",Honda,CR-V
"1101","Honda CIVIC",NA,"2015 ","Tiptronic",Honda,CIVIC
"1102","Toyota wish",NA,"2011 ","Automatic",Toyota,wish
"1103","Mazda Premacy","1550000","2011 ","Automatic",Mazda,Premacy
"1104","Toyota Mark X","2800000","2012 ","Automatic",Toyota,Mark X
"1105","Suzuki Swift","790000","2008 ","Automatic",Suzuki,Swift
"1106","Honda Stream RSZ","1800000","2010 ","Automatic",Honda,Stream RSZ
"1107","Honda Stream","9e+05","2004 ","Tiptronic",Honda,Stream
"1108","Toyota Corolla Axio",NA,"2011 ","Automatic",Toyota,Corolla Axio
"1109","Isuzu ELF",NA,"2005 ","Automatic",Isuzu,ELF
"1110","Honda CBR ","9e+05","2009 ","Manual",Honda,CBR 
"1111","BMW 428i","7e+06","2016 ","Automatic",BMW,428i
"1112","Toyota AXIO","2650000","2016 ","Automatic",Toyota,AXIO
"1113","Toyota Voxy ZS Kirameki II","2940000","2013 ","Automatic",Toyota,Voxy ZS Kirameki II
"1114","Nissan Teana","1980000","2012 ","Tiptronic",Nissan,Teana
"1115","Toyota Probox",NA,"2014 ","Automatic",Toyota,Probox
"1116","Mitsubishi Grandis","870000","2006 ","Automatic",Mitsubishi,Grandis
"1117","Nissan Tiida","7e+05","2008 ","Automatic",Nissan,Tiida
"1118","Toyota wish","1700000","2010 ","Automatic",Toyota,wish
"1119","Nissan note","1530000","2013 ","Automatic",Nissan,note
"1120","Nissan Sylphy",NA,"2013 ","Automatic",Nissan,Sylphy
"1121","Honda Inspire","1350000","2007 ","Automatic",Honda,Inspire
"1122","Nissan Lafesta","750000","2008 ","Automatic",Nissan,Lafesta
"1123","International 9200 Truck","4800000","2007 ","Manual",International,9200 Truck
"1124","Toyota Corolla Axio 2wd","1680000","2012 ","Automatic",Toyota,Corolla Axio 2wd
"1125","Honda Odyssey",NA,"2012 ","Automatic",Honda,Odyssey
"1126","Nissan Note","1300000","2013 ","Automatic",Nissan,Note
"1127","Honda Fit","1490000","2013 ","Automatic",Honda,Fit
"1128","Toyota Hiace",NA,"2010 ","Automatic",Toyota,Hiace
"1129","Toyota Noah",NA,"2012 ","Automatic",Toyota,Noah
"1130","Rims & Tires","320000"," ","Automatic",Rims,& Tires
"1131","Nissan Note","1499000","2014 ","Automatic",Nissan,Note
"1132","Honda CIVIC","2800000","2016 ","Automatic",Honda,CIVIC
"1133","Toyota Probox",NA,"2013 ","Automatic",Toyota,Probox
"1134","Volkswagen Passat","2850000","2013 ","Tiptronic",Volkswagen,Passat
"1135","Toyota Fielder","1200000","2008 ","Automatic",Toyota,Fielder
"1136","Toyota Yaris",NA,"2008 ","Automatic",Toyota,Yaris
"1137","Honda CIVIC","730000","1999 ","Automatic",Honda,CIVIC
"1138","Nissan AD VAN","950000","2012 ","Automatic",Nissan,AD VAN
"1139","Nissan Tiida",NA,"2012 ","Automatic",Nissan,Tiida
"1140","Nissan Bluebird Sylphy","2050000","2013 ","Automatic",Nissan,Bluebird Sylphy
"1141","Nissan Wingroad","1150000","2011 ","Automatic",Nissan,Wingroad
"1142","Toyota Voxy",NA,"2012 ","Automatic",Toyota,Voxy
"1143","Hyundai ELANTRA",NA,"1998 ","Automatic",Hyundai,ELANTRA
"1144","Nissan Tiida Latio","1200000","2011 ","Automatic",Nissan,Tiida Latio
"1145","Toyota Belta","890000","2009 ","Automatic",Toyota,Belta
"1146","Mitsubishi Pajero","1850000","2008 ","Automatic",Mitsubishi,Pajero
"1147","Suzuki Grand Vitara",NA,"2009 ","Automatic",Suzuki,Grand Vitara
"1148","Nissan AD Wagon","850000","2012 ","Automatic",Nissan,AD Wagon
"1149","Honda Fit","1250000","2012 ","Automatic",Honda,Fit
"1150","Toyota Mark X","1500000","2008 ","Automatic",Toyota,Mark X
"1151","Toyota Mark X",NA,"2014 ","Automatic",Toyota,Mark X
"1152","Suzuki Grand Vitara","1400000","2009 ","Automatic",Suzuki,Grand Vitara
"1153","Toyota Camry","350000","1995 ","Automatic",Toyota,Camry
"1154","Suzuki Swift","1580000","2015 ","Automatic",Suzuki,Swift
"1155","BMW 320i","2500000","2011 ","Automatic",BMW,320i
"1156","Toyota Vitz","1480000","2012 ","Automatic",Toyota,Vitz
"1157","Nissan X Trail",NA,"2013 ","Automatic",Nissan,X Trail
"1158","Mitsubishi Outlander","950000","2005 ","Automatic",Mitsubishi,Outlander
"1159","International 9400i Truck","4700000","2007 ","Manual",International,9400i Truck
"1160","Nissan Note","840000","2008 ","Automatic",Nissan,Note
"1161","Nissan Tiida","750000","2007 ","Automatic",Nissan,Tiida
"1162","Nissan Bluebird",NA,"2008 ","Automatic",Nissan,Bluebird
"1163","Toyota Isis",NA,"2014 ","Automatic",Toyota,Isis
"1164","Nissan Urvan","430000","1999 ","Automatic",Nissan,Urvan
"1165","Nissan Lafesta","1150000","2010 ","Automatic",Nissan,Lafesta
"1166","Toyota Voxy","3e+06","2012 ","Automatic",Toyota,Voxy
"1167","Subaru  impreza Anesis","1270000","2011 ","Automatic",Subaru, impreza Anesis
"1168","Toyota Mark X (Premium  Package)",NA,"2015 ","Automatic",Toyota,Mark X (Premium  Package)
"1169","Toyota Fielder","1950000","2013 ","Tiptronic",Toyota,Fielder
"1170","Nissan Tiida",NA,"2012 ","Automatic",Nissan,Tiida
"1171","Honda Fit",NA,"2012 ","Automatic",Honda,Fit
"1172","Toyota Allion",NA,"2007 ","Automatic",Toyota,Allion
"1173","Nissan AD Wagon","1100000","2012 ","Automatic",Nissan,AD Wagon
"1174","Toyota AXIO","2250000","2014 ","Automatic",Toyota,AXIO
"1175","Toyota Probox",NA,"2014 ","Automatic",Toyota,Probox
"1176","Honda Fit","1580000","2013 ","Automatic",Honda,Fit
"1177","Nissan wingroad","1590000","2013 ","Automatic",Nissan,wingroad
"1178","Hyundai ELANTRA","2e+06","2013 ","Automatic",Hyundai,ELANTRA
"1179","Honda CR-V","3390000","2012 ","Automatic",Honda,CR-V
"1180","Honda Stream","1200000","2008 ","Automatic",Honda,Stream
"1181","Honda CIVIC","2750000","2016 ","Automatic",Honda,CIVIC
"1182","Suzuki swift ",NA,"2015 ","Automatic",Suzuki,swift 
"1183","Honda CR-V","3750000","2013 ","Automatic",Honda,CR-V
"1184","Honda CIVIC",NA,"1998 ","Automatic",Honda,CIVIC
"1185","Honda Fit",NA,"2013 ","Automatic",Honda,Fit
"1186","Honda Stream","2100000","2012 ","Automatic",Honda,Stream
"1187","Toyota Isis","1750000","2012 ","Automatic",Toyota,Isis
"1188","Honda FIT Hybrid ","1250000","2012 ","Automatic",Honda,FIT Hybrid 
"1189","Toyota Noah","1750000","2009 ","Automatic",Toyota,Noah
"1190","Mitsubishi Galant","1590000","2013 ","Automatic",Mitsubishi,Galant
"1191","Nissan Caravan  High top","790000","2004 ","Manual",Nissan,Caravan  High top
"1192","Toyota Crown Royal Saloon ","3980000","2013 ","Automatic",Toyota,Crown Royal Saloon 
"1193","Nissan AD Wagon",NA,"2012 ","Automatic",Nissan,AD Wagon
"1194","Toyota Voxy","1e+06","2003 ","Automatic",Toyota,Voxy
"1195","Honda CIVIC","1350000","2006 ","Automatic",Honda,CIVIC
"1196","Honda Stream","1200000","2008 ","Automatic",Honda,Stream
"1197","Toyota AXIO","1530000","2012 ","Automatic",Toyota,AXIO
"1198","Subaru  Impreza XV  EYESIGHT",NA,"2016 ","Automatic",Subaru, Impreza XV  EYESIGHT
"1199","Volkswagen Touareg","2800000","2009 ","Tiptronic",Volkswagen,Touareg
"1200","Honda Civic Hybrid","1400000","2010 ","Automatic",Honda,Civic Hybrid
"1201","Toyota Corolla","770000","2002 ","Automatic",Toyota,Corolla
"1202","Toyota Axio Luxel Limited Edition",NA,"2013 ","Automatic",Toyota,Axio Luxel Limited Edition
"1203","Honda Fit",NA,"2005 ","Automatic",Honda,Fit
"1204","Toyota Succeed","1320000","2013 ","Automatic",Toyota,Succeed
"1205","Subaru  Impreza G4","1650000","2012 ","Automatic",Subaru, Impreza G4
"1206","Toyota Mark X 350G (Premium  Package)","3350000","2014 ","Automatic",Toyota,Mark X 350G (Premium  Package)
"1207","Honda Accord","2700000","2012 ","Automatic",Honda,Accord
"1208","Toyota Noah Si",NA,"2013 ","Automatic",Toyota,Noah Si
"1209","Honda Stream","1900000","2011 ","Automatic",Honda,Stream
"1210","Toyota Fielder","1600000"," ","Automatic",Toyota,Fielder
"1211","Toyota Corolla","1500000","2011 ","Automatic",Toyota,Corolla
"1212","Toyota Noah X","1850000","2009 ","Automatic",Toyota,Noah X
"1213","Mazda Bongo",NA,"2012 ","Automatic",Mazda,Bongo
"1214","Toyota Coaster Bus","5950000","2013 ","Manual",Toyota,Coaster Bus
"1215","Honda CIVIC","1500000","2010 ","Automatic",Honda,CIVIC
"1216","Toyota Voxy","2200000","2012 ","Automatic",Toyota,Voxy
"1217","Honda Fit","650000","2005 ","Automatic",Honda,Fit
"1218","Mercedes-Benz 350ml","1750000","2005 ","Automatic",Mercedes-Benz,350ml
"1219","Toyota Hiace bus ","565000","1999 ","Manual",Toyota,Hiace bus 
"1220","Toyota Tacoma Space cab","15","2006 ","Tiptronic",Toyota,Tacoma Space cab
"1221","Lexus ES","1500000","2008 ","Tiptronic",Lexus,ES
"1222","Mitsubishi Mirage","450000","1998 ","Automatic",Mitsubishi,Mirage
"1223","Toyota AXIO","1600000","2012 ","Automatic",Toyota,AXIO
"1224","Nissan AD Wagon","970000","2011 ","Automatic",Nissan,AD Wagon
"1225","Honda CIVIC",NA,"2014 ","Automatic",Honda,CIVIC
"1226","Nissan Altima","2","2012 ","Automatic",Nissan,Altima
"1227","Honda Fit","2100000","2016 ","Automatic",Honda,Fit
"1228","Mazda Demio","1399000","2013 ","Automatic",Mazda,Demio
"1229","Toyota Isis","1500000","2011 ","Automatic",Toyota,Isis
"1230","Toyota wish",NA,"2012 ","Automatic",Toyota,wish
"1231","Nissan Tiida",NA,"2012 ","Automatic",Nissan,Tiida
"1232","Honda Civic EX","2700000","2016 ","Automatic",Honda,Civic EX
"1233","Toyota AXIO","1980000","2014 ","Automatic",Toyota,AXIO
"1234","Nissan Note","1e+06","2012 ","Automatic",Nissan,Note
"1235","Honda Inspire","1350000","2008 ","Automatic",Honda,Inspire
"1236","Honda Fit",NA,"2013 ","Automatic",Honda,Fit
"1237","Mazda Biante","1350000","2008 ","Automatic",Mazda,Biante
"1238","Honda Fit","1780000","2014 ","Automatic",Honda,Fit
"1239","Toyota AXIO","1700000","2012 ","Automatic",Toyota,AXIO
"1240","BMW 328i","3300000","2013 ","Automatic",BMW,328i
"1241","Toyota Probox",NA,"2012 ","Automatic",Toyota,Probox
"1242","Toyota Passo",NA,"2012 ","Automatic",Toyota,Passo
"1243","Nissan Note","1650000","2015 ","Automatic",Nissan,Note
"1244","Honda CIVIC",NA,"2017 ","Automatic",Honda,CIVIC
"1245","Honda Civic EX-L","2700000","2016 ","Automatic",Honda,Civic EX-L
"1246","Toyota 4Runner","1300000","2004 ","Automatic",Toyota,4Runner
"1247","Honda Fit","630000","2006 ","Automatic",Honda,Fit
"1248","Toyota AXIO","2350000","2014 ","Automatic",Toyota,AXIO
"1249","Honda CR-V",NA,"1997 ","Automatic",Honda,CR-V
"1250","Suzuki Swift","1150000","2011 ","Automatic",Suzuki,Swift
"1251","Toyota Voxy ZS",NA,"2011 ","Automatic",Toyota,Voxy ZS
"1252","Nissan AD Wagon","950000","2012 ","Automatic",Nissan,AD Wagon
"1253","Toyota AXIO",NA,"2011 ","Automatic",Toyota,AXIO
"1254","Nissan Bluebird","1790000","2012 ","Automatic",Nissan,Bluebird
"1255","Mitsubishi Outlander","940000","2005 ","Automatic",Mitsubishi,Outlander
"1256","Honda HRV","3500000","2016 ","Automatic",Honda,HRV
"1257","Toyota Kingfish-Luxel","1180000","2006 ","Automatic",Toyota,Kingfish-Luxel
"1258","Honda Civic EX","2900000","2017 ","Automatic",Honda,Civic EX
"1259","Mitsubishi Mirage","3e+05","1998 ","Automatic",Mitsubishi,Mirage
"1260","Nissan Tiida","1200000","2012 ","Automatic",Nissan,Tiida
"1261","Honda Fit Aria","880000","2008 ","Automatic",Honda,Fit Aria
"1262","Mercedes-Benz C200","4e+06","2014 ","Automatic",Mercedes-Benz,C200
"1263","Suzuki Swift",NA,"2015 ","Automatic",Suzuki,Swift
"1264","Toyota Vitz","1550000","2013 ","Automatic",Toyota,Vitz
"1265","Toyota Mark X","2550000","2011 ","Automatic",Toyota,Mark X
"1266","Nissan Tiida","920000","2009 ","Automatic",Nissan,Tiida
"1267","Nissan Tiida",NA,"2011 ","Automatic",Nissan,Tiida
"1268","Subaru  Impreza Anesis","1200000","2011 ","Tiptronic",Subaru, Impreza Anesis
"1269","Honda CR-V","4730000","2015 ","Automatic",Honda,CR-V
"1270","Honda Fit","680000","2005 ","Automatic",Honda,Fit
"1271","Honda Civic EX","2900000","2017 ","Automatic",Honda,Civic EX
"1272","Honda Stream","2200000","2012 ","Automatic",Honda,Stream
"1273","Toyota Mark X","2950000","2013 ","Tiptronic",Toyota,Mark X
"1274","Ford Econoline","550000","1990 ","Automatic",Ford,Econoline
"1275","Mazda Demio","1380000","2012 ","Automatic",Mazda,Demio
"1276","Mercedes-Benz C300","1e+07","2017 ","Automatic",Mercedes-Benz,C300
"1277","BMW X6","7e+06","2014 ","Tiptronic",BMW,X6
"1278","Honda Accord","2700000","2015 ","Automatic",Honda,Accord
"1279","Toyota Hiace","2575000","2012 ","Automatic",Toyota,Hiace
"1280","Toyota Vitz","1250000","2012 ","Automatic",Toyota,Vitz
"1281","Toyota AXIO",NA,"2011 ","Automatic",Toyota,AXIO
"1282","Honda Stream RSZ","2300000","2012 ","Automatic",Honda,Stream RSZ
"1283","Toyota AXIO","1550000","2012 ","Automatic",Toyota,AXIO
"1284","BMW 320i","9e+05","2003 ","Automatic",BMW,320i
"1285","Honda Accord","3e+06","2013 ","Tiptronic",Honda,Accord
"1286","Toyota Vitz","1350000","2013 ","Automatic",Toyota,Vitz
"1287","Honda Fit","1980000","2015 ","Automatic",Honda,Fit
"1288","Toyota Vanguard","2800000","2011 ","Automatic",Toyota,Vanguard
"1289","Subaru  Legacy","1980000","2011 ","Tiptronic",Subaru, Legacy
"1290","Nissan Sunny ","470000","2003 ","Automatic",Nissan,Sunny 
"1291","Honda CRV ZX","2750000","2011 ","Automatic",Honda,CRV ZX
"1292","Mazda Premacy","1590000","2011 ","Automatic",Mazda,Premacy
"1293","Isuzu forward","3700000","2006 ","Manual",Isuzu,forward
"1294","BMW 435i Coupe","5500000","2016 ","Tiptronic",BMW,435i Coupe
"1295","Toyota  Mark X 250G","1300000","2009 ","Automatic",Toyota, Mark X 250G
"1296","Honda Accord","1400000","2010 ","Automatic",Honda,Accord
"1297","Acura integra","6e+05","2005 ","Manual",Acura,integra
"1298","Honda Fit","1980000","2016 ","Automatic",Honda,Fit
"1299","Toyota Camery","3200000","2016 ","Automatic",Toyota,Camery
"1300","Nissan Lafesta","1800000","2011 ","Automatic",Nissan,Lafesta
"1301","Toyota TownAce","1480000","2012 ","Automatic",Toyota,TownAce
"1302","Nissan Note",NA,"2013 ","Automatic",Nissan,Note
"1303","BMW X6 Sport",NA,"2009 ","Automatic",BMW,X6 Sport
"1304","Honda Fit","2080000","2016 ","Automatic",Honda,Fit
"1305","BMW 328i","3690000","2012 ","Automatic",BMW,328i
"1306","Honda Accord","2850000","2013 ","Automatic",Honda,Accord
"1307","Toyota Voxy",NA,"2012 ","Automatic",Toyota,Voxy
"1308","Jaguar XF","3300000","2010 ","Automatic",Jaguar,XF
"1309","Suzuki Swift","1220000","2012 ","Automatic",Suzuki,Swift
"1310","Honda CR-V EX","3750000","2016 ","Automatic",Honda,CR-V EX
"1311","Toyota Hilux","6500000","2016 ","Tiptronic",Toyota,Hilux
"1312","Toyota Corolla Axio","1880000","2012 ","Automatic",Toyota,Corolla Axio
"1313","Isuzu ELF","2850000","2005 ","Manual",Isuzu,ELF
"1314","Toyota Isis",NA,"2013 ","Automatic",Toyota,Isis
"1315","Toyota Corolla E111",NA,"2000 ","Automatic",Toyota,Corolla E111
"1316","Isuzu ELF",NA,"2006 ","Automatic",Isuzu,ELF
"1317","Toyota Probox",NA,"2014 ","Tiptronic",Toyota,Probox
"1318","Nissan Bluebird Sylphy","825000","2006 ","Automatic",Nissan,Bluebird Sylphy
"1319","Honda CR-V","1680000","2007 ","Automatic",Honda,CR-V
"1320","Toyota wish","1600000","2009 ","Tiptronic",Toyota,wish
"1321","Nissan march","950000","2012 ","Automatic",Nissan,march
"1322","Honda CIVIC","1860000","2012 ","Automatic",Honda,CIVIC
"1323","Honda CIVIC","3900000","2017 ","Automatic",Honda,CIVIC
"1324","Toyota Probox","1250000","2013 ","Automatic",Toyota,Probox
"1325","Nissan Note",NA,"2013 ","Automatic",Nissan,Note
"1326","Nissan Juke","1950000","2012 ","Automatic",Nissan,Juke
"1327","Toyota Tacoma","1900000","2002 ","Manual",Toyota,Tacoma
"1328","Volkswagen Passat","2400000","2012 ","Automatic",Volkswagen,Passat
"1329","Toyota Prado","7500000","2015 ","Automatic",Toyota,Prado
"1330","Honda Fit Shuttle","1850000","2014 ","Automatic",Honda,Fit Shuttle
"1331","Toyota Fielder",NA,"2012 ","Automatic",Toyota,Fielder
"1332","Toyota TownAce",NA,"2011 ","Automatic",Toyota,TownAce
"1333","Toyota Voxy","2600000","2013 ","Automatic",Toyota,Voxy
"1334","Mitsubishi L200 Sportero","2300000","2011 ","Automatic",Mitsubishi,L200 Sportero
"1335","Suzuki Vitara","1500000","2009 ","Automatic",Suzuki,Vitara
"1336","Nissan Note","1550000","2014 ","Automatic",Nissan,Note
"1337","Honda Fit","2450000","2017 ","Automatic",Honda,Fit
"1338","Suzuki Swift",NA,"2015 ","Automatic",Suzuki,Swift
"1339","Toyota AXIO",NA,"2013 ","Automatic",Toyota,AXIO
"1340","Toyota Probox DX","1050000","2012 ","Automatic",Toyota,Probox DX
"1341","Mazda ATENZA","1300000","2009 ","Tiptronic",Mazda,ATENZA
"1342","Honda Elysion",NA,"2009 ","Automatic",Honda,Elysion
"1343","Toyota Vitz","1490000","2012 ","Automatic",Toyota,Vitz
"1344","Honda FIT Hybrid ","1400000","2012 ","Automatic",Honda,FIT Hybrid 
"1345","Toyota Vitz",NA,"2011 ","Automatic",Toyota,Vitz
"1346","Toyota Hilux","2200000","2011 ","Manual",Toyota,Hilux
"1347","Suzuki Swift",NA,"2013 ","Automatic",Suzuki,Swift
"1348","Suzuki Swift Sport","1650000","2012 ","Automatic",Suzuki,Swift Sport
"1349","Suzuki Swift",NA,"2011 ","Automatic",Suzuki,Swift
"1350","Honda CIVIC","6e+05","2001 ","Automatic",Honda,CIVIC
"1351","Honda HRV","3700000","2015 ","Automatic",Honda,HRV
"1352","Toyota Voxy","2200000","2012 ","Automatic",Toyota,Voxy
"1353","Toyota Allion","2650000","2015 ","Automatic",Toyota,Allion
